SEASON,NAME,AGE,EARNINGS,CUP,EVNTS,RNDS,CUTS,TOP10,WINS,SCORE,DDIS,DACC,GIR,PUTTS,SAND,BIRDS
2022,Matt Every,39,"$7,659",2,8,0,1,0,0,0,0,0,0,0,0,0
2022,Kevin Stadler,43,"$7,955",2,11,0,1,0,0,0,0,0,0,0,0,0
2022,Brian Davis,49,"$8,177",3,7,0,1,0,0,0,0,0,0,0,0,0
2023,Richard S. Johnson,47,"$8,208",2,6,0,1,0,0,0,0,0,0,0,0,0
2023,Bo Van Pelt,48,"$11,172",6,7,0,1,0,0,0,0,0,0,0,0,0
2022,John Senden,52,"$13,650",3,3,0,1,0,0,0,0,0,0,0,0,0
2023,Scott Gutschewski,47,"$14,690",5,1,0,1,0,0,0,0,0,0,0,0,0
2022,Omar Uresti,55,"$14,910",4,5,0,1,0,0,0,0,0,0,0,0,0
2022,Davis Love III,59,"$15,048",3,7,0,1,0,0,0,0,0,0,0,0,0
2022,Richard S. Johnson,47,"$15,725",5,8,0,2,0,0,0,0,0,0,0,0,0
2022,Jay Haas,69,"$16,185",3,1,0,0,0,0,0,0,0,0,0,0,0
2022,Ryuji Imada,47,"$16,318",2,4,0,1,0,0,0,0,0,0,0,0,0
2023,Arjun Atwal,50,"$16,367",8,10,0,1,0,0,0,0,0,0,0,0,0
2022,Paul Goydos,59,"$16,800",5,1,0,1,0,0,0,0,0,0,0,0,0
2022,George McNeill,48,"$16,800",5,5,0,1,0,0,0,0,0,0,0,0,0
2023,George McNeill,48,"$16,834",6,6,0,2,0,0,0,0,0,0,0,0,0
2022,Morgan Hoffmann,34,"$17,513",3,3,0,2,0,0,0,0,0,0,0,0,0
2022,John Merrick,41,"$19,502",4,9,0,2,0,0,0,0,0,0,0,0,0
2022,Arjun Atwal,50,"$21,150",5,7,0,2,0,0,0,0,0,0,0,0,0
2023,Kevin Stadler,43,"$21,318",4,9,0,2,0,0,0,0,0,0,0,0,0
2023,Mike Weir,53,"$21,438",7,2,0,1,0,0,0,0,0,0,0,0,0
2022,Sangmoon Bae,37,"$23,357",9,8,0,2,0,0,0,0,0,0,0,0,0
2022,Derek Ernst,33,"$25,057",9,7,0,2,0,0,0,0,0,0,0,0,0
2022,Jim Furyk,53,"$27,375",12,3,0,1,0,0,0,0,0,0,0,0,0
2022,Johnson Wagner,43,"$35,205",12,6,0,2,0,0,0,0,0,0,0,0,0
2022,D.J. Trahan,42,"$35,292",11,10,0,3,0,0,0,0,0,0,0,0,0
2022,Padraig Harrington,52,"$37,464",12,6,0,1,0,0,0,0,0,0,0,0,0
2022,Fabián Gómez,45,"$40,401",20,8,0,3,0,0,0,0,0,0,0,0,0
2022,Ben Crane,47,"$40,658",10,10,0,3,0,0,0,0,0,0,0,0,0
2022,J.J. Henry,48,"$41,727",9,8,0,3,0,0,0,0,0,0,0,0,0
2022,Tiger Woods,47,"$43,500",11,3,0,1,0,0,0,0,0,0,0,0,0
2022,D.A. Points,46,"$45,522",13,11,0,4,0,0,0,0,0,0,0,0,0
2023,Fred Couples,64,"$46,080",9,1,0,1,0,0,0,0,0,0,0,0,0
2023,Ernie Els,54,"$46,200",6,2,0,1,0,0,0,0,0,0,0,0,0
2023,Robert Garrigus,46,"$48,425",0,9,0,1,0,0,0,0,0,0,0,0,0
2022,Ryan Blaum,40,"$48,910",27,2,0,1,0,0,0,0,0,0,0,0,0
2023,Derek Lamely,43,"$52,205",26,9,0,2,0,0,0,0,0,0,0,0,0
2023,Derek Ernst,33,"$52,898",27,11,0,2,0,0,0,0,0,0,0,0,0
2023,Philip Knowles,26,"$53,421",18,9,0,3,0,0,0,0,0,0,0,0,0
2023,Sangmoon Bae,37,"$57,871",12,8,0,3,0,0,0,0,0,0,0,0,0
2023,Jerry Kelly,56,"$58,000",7,2,0,1,0,0,0,0,0,0,0,0,0
2023,J.B. Holmes,41,"$58,884",7,10,0,2,0,0,0,0,0,0,0,0,0
2023,Tiger Woods,47,"$59,560",11,2,0,1,0,0,0,0,0,0,0,0,0
2022,Greg Chalmers,50,"$62,549",32,10,0,4,0,0,0,0,0,0,0,0,0
2022,David Hearn,44,"$66,239",28,12,0,4,0,0,0,0,0,0,0,0,0
2023,Ben Crane,47,"$71,025",13,14,0,5,0,0,0,0,0,0,0,0,0
2023,Scott Brown,40,"$78,995",26,16,0,5,0,0,0,0,0,0,0,0,0
2022,Ricky Barnes,42,"$83,169",39,11,0,4,0,0,0,0,0,0,0,0,0
2023,D.A. Points,46,"$83,872",9,11,0,2,0,0,0,0,0,0,0,0,0
2023,Kyle Stanley,36,"$84,721",11,18,0,4,0,0,0,0,0,0,0,0,0
2023,Anders Albertson,30,"$87,639",34,9,0,4,0,0,0,0,0,0,0,0,0
2023,Greg Chalmers,50,"$88,172",28,15,0,6,0,0,0,0,0,0,0,0,0
2023,D.J. Trahan,42,"$92,850",7,10,0,3,0,0,0,0,0,0,0,0,0
2022,Chris Stroud,41,"$95,402",44,12,0,4,0,0,0,0,0,0,0,0,0
2022,Mark Hensby,51,"$97,356",40,5,0,1,1,0,0,0,0,0,0,0,0
2023,Ted Potter Jr.,40,"$112,208",37,11,0,5,0,0,0,0,0,0,0,0,0
2023,Scottie Scheffler,27,"$21,014,342",4218,23,88,23,17,2,68.3,310.3,62.1,74.4,1.735,44.2,4.409
2023,Jon Rahm,29,"$16,522,608",3486,20,71,18,10,4,68.8,314,57.7,70.5,1.711,49.5,4.493
2023,John Huh,33,"$121,256",45,8,0,4,0,0,0,0,0,0,0,0,0
2023,Viktor Hovland,26,"$14,112,235",4024,23,88,23,9,3,68.9,307.6,63.7,68.2,1.716,58.3,4.409
2022,Scottie Scheffler,27,"$14,046,910",-20,25,84,20,11,4,68.9,311.6,60,72.3,1.72,49.5,4.595
2023,Tommy Gainey,48,"$137,388",46,16,0,4,0,0,0,0,0,0,0,0,0
2022,Phil Mickelson,53,"$140,608",44,6,0,2,0,0,0,0,0,0,0,0,0
2022,Peter Uihlein,34,"$142,276",62,15,0,7,0,0,0,0,0,0,0,0,0
2023,Fabián Gómez,45,"$143,701",55,10,0,3,0,0,0,0,0,0,0,0,0
2023,Rory Sabbatini,47,"$149,009",55,14,0,2,0,0,0,0,0,0,0,0,0
2022,Bo Van Pelt,48,"$161,157",69,16,0,6,0,0,0,0,0,0,0,0,0
2023,Brandt Snedeker,42,"$167,113",35,11,0,6,0,0,0,0,0,0,0,0,0
2023,Rory McIlroy,34,"$13,921,008",3494,18,64,16,13,2,68.9,326.3,53.3,67.9,1.73,50.6,4.297
2023,Bill Haas,41,"$170,817",65,12,0,5,0,0,0,0,0,0,0,0,0
2023,Geoff Ogilvy,46,"$173,140",63,12,0,5,0,0,0,0,0,0,0,0,0
2022,Michael Kim,30,"$183,150",84,5,0,2,1,0,0,0,0,0,0,0,0
2023,Sebastián Muñoz,30,"$183,818",59,7,0,5,0,0,0,0,0,0,0,0,0
2022,Henrik Stenson,47,"$184,439",78,13,0,3,0,0,0,0,0,0,0,0,0
2023,Max Homa,33,"$10,761,517",2871,25,86,21,13,2,69.2,304.8,60.1,66.9,1.699,55.6,4.337
2022,Robert Garrigus,46,"$185,879",79,14,0,5,0,0,0,0,0,0,0,0,0
2023,Nicholas Lindheim,39,"$187,577",29,6,0,4,0,0,0,0,0,0,0,0,0
2022,Kyle Stanley,36,"$188,048",80,18,0,4,0,0,0,0,0,0,0,0,0
2023,Wyndham Clark,29,"$10,757,490",2157,28,102,24,8,2,69.4,313.5,54.9,67.8,1.727,56.5,4.108
2023,Ricky Barnes,42,"$190,721",67,16,0,3,1,0,0,0,0,0,0,0,0
2022,Bronson Burgoon,36,"$192,026",80,13,0,5,0,0,0,0,0,0,0,0,0
2022,Aaron Baddeley,42,"$199,830",96,13,0,6,0,0,0,0,0,0,0,0,0
2023,Patrick Cantlay,31,"$10,372,998",2843,21,72,18,10,0,68.8,308.6,65.5,69.8,1.723,47.3,4.5
2022,Brian Gay,51,"$203,278",90,18,0,4,0,0,0,0,0,0,0,0,0
2022,Jimmy Walker,44,"$210,827",83,14,0,6,0,0,0,0,0,0,0,0,0
2022,Cameron Smith,30,"$10,107,897",-9,18,62,14,7,3,68.9,299.7,57.5,68,1.679,52.2,4.629
2022,Will Zalatoris,27,"$9,405,082",3680,24,76,17,9,1,69.6,314.7,55.4,70.9,1.734,49,4.316
2022,Grayson Murray,30,"$218,304",70,12,0,4,0,0,0,0,0,0,0,0,0
2023,Brian Gay,51,"$219,638",67,15,0,4,0,0,0,0,0,0,0,0,0
2022,David Lingmerth,36,"$229,256",80,14,0,9,0,0,0,0,0,0,0,0,0
2022,Scott Brown,40,"$238,839",111,14,0,7,0,0,0,0,0,0,0,0,0
2023,Jonas Blixt,39,"$241,393",91,14,0,5,0,0,0,0,0,0,0,0,0
2022,Patrick Cantlay,31,"$9,369,605",-16,20,68,17,12,2,69,308,60.6,69.3,1.732,57.7,4.441
2022,Tommy Gainey,48,"$252,536",105,15,0,3,1,0,0,0,0,0,0,0,0
2023,Brian Harman,36,"$9,175,262",2339,28,93,20,7,1,69.3,293.6,66.8,67.6,1.743,64.5,3.882
2023,Keegan Bradley,37,"$9,010,040",1933,24,82,19,6,2,69.8,305.6,58.5,67.1,1.732,46.6,4.171
2022,Rory McIlroy,34,"$8,654,566",-21,16,60,14,10,3,68.9,321.3,58.1,69.9,1.739,61.6,4.533
2023,Xander Schauffele,30,"$8,459,066",1866,23,81,21,11,0,69.1,304.1,57.5,68.4,1.717,56.1,4.21
2023,Tyrrell Hatton,32,"$8,336,912",1509,21,78,20,7,0,69.4,306.5,59.4,66.4,1.719,51.3,4.064
2022,Ryan Moore,40,"$282,801",130,16,0,8,0,0,0,0,0,0,0,0,0
2023,Matt Fitzpatrick,29,"$8,144,543",2043,23,73,16,6,1,70,304.1,56.6,65.1,1.741,57.3,3.74
2023,Rickie Fowler,34,"$7,864,161",1885,26,96,24,8,1,69.4,308.1,58.5,68.1,1.725,55,4.156
2023,Tom Kim,21,"$7,774,918",1814,27,90,21,9,2,69.2,297.6,67.5,69.5,1.725,45.5,4.222
2023,Collin Morikawa,26,"$7,573,198",1609,25,81,18,7,1,69.2,296.2,68,71,1.742,53.3,4.21
2022,Xander Schauffele,30,"$7,427,299",-18,21,72,18,7,3,68.9,308.5,62.2,70.5,1.725,64.9,4.319
2023,Sahith Theegala,25,"$7,284,670",1494,31,106,25,8,1,69.9,304.9,52.8,64.9,1.708,55,4.208
2022,Harris English,34,"$305,923",91,12,0,5,0,0,0,0,0,0,0,0,0
2022,Tyler McCumber,30,"$307,005",113,11,0,2,1,0,0,0,0,0,0,0,0
2023,Jordan Spieth,30,"$7,240,044",1506,22,72,16,7,0,70.1,303.6,56.8,64,1.742,58.6,3.806
2023,Sam Burns,27,"$7,139,050",1561,26,81,18,6,1,70,311.4,56.6,63.6,1.724,56.6,3.864
2022,Sam Burns,27,"$7,073,986",-7,24,80,17,8,3,69.4,309.6,55.4,68.7,1.721,49.6,4.325
2022,Matt Fitzpatrick,29,"$7,012,672",-11,20,70,17,10,1,69.5,303.8,63.4,66.8,1.787,63.9,3.686
2023,Danny Lee,33,"$316,795",112,11,0,6,0,0,0,0,0,0,0,0,0
2023,Jason Day,36,"$6,922,758",1574,24,80,18,8,1,69.6,304.2,61.7,66.7,1.736,52.5,4.025
2023,Kurt Kitayama,30,"$6,840,062",1300,25,72,14,4,1,70.7,306.2,51.5,63.3,1.771,52.8,3.611
2022,Justin Thomas,30,"$6,829,576",-17,21,76,19,10,1,68.8,314.3,54.8,68.3,1.718,62.7,4.579
2023,Kevin Kisner,39,"$335,671",70,18,0,8,0,0,0,0,0,0,0,0,0
2023,Denny McCarthy,30,"$6,760,012",1454,30,100,23,8,0,69.4,295.5,61.5,66.9,1.732,54.9,3.87
2023,Sungjae Im,25,"$6,665,921",1780,31,104,24,9,0,69.4,299.3,63,66.5,1.74,61.9,4.125
2022,Sean O'Hair,41,"$345,547",146,13,0,6,1,0,0,0,0,0,0,0,0
2023,Brendan Steele,40,"$350,609",133,10,0,5,0,0,0,0,0,0,0,0,0
2022,Cameron Young,26,"$6,520,598",-10,25,82,18,7,0,69.6,319.3,58.7,64.9,1.728,48.2,4.415
2023,Tommy Fleetwood,32,"$6,510,641",1967,21,74,18,9,0,69.4,302.3,61.8,64.6,1.713,57.9,3.946
2023,Lucas Glover,44,"$6,399,296",3041,30,100,19,5,2,69.9,294.9,68.9,70.5,1.753,54.3,4.04
2023,Russell Henley,34,"$6,332,282",1948,25,84,19,5,1,69.3,290.9,72.6,69.5,1.749,46.4,3.976
2023,Nick Taylor,35,"$6,242,461",1633,30,93,19,6,1,69.8,293.7,58.5,65.6,1.717,50,4
2022,Tony Finau,34,"$6,117,886",-15,25,86,20,7,2,69.2,308,58,71.3,1.752,51.1,4.221
2023,Tony Finau,34,"$5,867,652",1744,24,84,20,5,2,69.5,304.2,60.7,69.1,1.755,50.5,4.155
2023,Jhonattan Vegas,39,"$375,361",112,7,0,4,0,0,0,0,0,0,0,0,0
2022,Hideki Matsuyama,31,"$5,776,298",-13,21,72,17,6,2,69.5,304.7,59.4,68.3,1.745,54.9,4.181
2023,Harris English,34,"$5,600,689",1201,30,97,21,5,0,70.1,297.3,62.1,64.6,1.769,48.6,3.546
2022,Sungjae Im,25,"$5,567,974",-20,26,88,21,9,1,69.2,303.7,65.5,70.8,1.762,56.9,3.989
2023,Corey Conners,31,"$5,545,721",1688,25,86,20,5,1,69.7,300.6,61.4,70.2,1.757,47.2,3.953
2023,Emiliano Grillo,31,"$5,476,302",1543,33,113,23,8,1,70.1,301.3,61.4,68,1.751,47.2,3.912
2023,Eric Cole,35,"$5,457,030",1175,37,126,27,7,0,69.1,299,54.3,65.9,1.691,54.9,4.397
2023,Si Woo Kim,28,"$5,397,030",1672,30,100,23,5,1,69.9,296.9,67.8,65.9,1.75,59.1,3.81
2023,Cameron Young,26,"$5,392,961",1181,24,86,21,5,0,69.9,315.7,59.1,69,1.755,43.8,4.337
2022,William McGirt,44,"$412,275",144,17,0,7,1,0,0,0,0,0,0,0,0
2022,Max Homa,33,"$5,289,842",-17,24,82,20,5,2,69.9,306.3,60.6,66,1.747,51.6,3.939
2023,Erik Barnes,36,"$422,239",149,15,0,5,1,0,0,0,0,0,0,0,0
2023,Sepp Straka,30,"$5,287,574",1503,28,92,20,5,1,70.2,299.5,64.5,68.2,1.743,43.8,3.88
2022,Jon Rahm,29,"$5,248,220",-11,19,70,18,8,1,69.6,318.9,62.5,71.6,1.768,40.8,4.171
2023,Grayson Murray,30,"$437,066",172,13,0,4,2,0,0,0,0,0,0,0,0
2023,Michael Thompson,38,"$438,817",139,15,0,8,0,0,0,0,0,0,0,0,0
2023,Taylor Moore,30,"$5,077,211",1669,31,101,20,4,1,70.3,307.1,55.9,64.1,1.77,48.6,3.653
2022,Joaquin Niemann,25,"$5,076,060",-13,24,80,19,5,1,69.5,309.1,56.7,67.9,1.729,55.2,4.15
2023,Luke Donald,45,"$456,642",127,15,0,8,0,0,0,0,0,0,0,0,0
2022,Jordan Spieth,30,"$5,018,444",-12,22,74,17,6,1,69.7,308.4,56,67.4,1.748,51.4,4.068
2023,Cam Davis,28,"$5,001,208",1072,29,91,18,8,0,69.6,311,55.4,67.8,1.763,55.7,3.967
2023,Adam Schenk,31,"$4,987,135",1620,36,119,23,7,0,69.9,305.6,55.2,67.7,1.786,52.4,3.681
2022,Billy Horschel,36,"$4,940,600",-8,22,70,16,5,1,69.8,297.3,65.1,68.2,1.768,56.3,3.8
2022,Viktor Hovland,26,"$4,868,461",-11,21,70,17,5,1,69.7,308.4,61.9,67,1.731,45.5,4.371
2022,Ben Martin,36,"$491,882",197,16,0,7,1,0,0,0,0,0,0,0,0
2023,Adam Svensson,29,"$4,844,402",1280,35,122,28,4,1,69.7,296.2,63.8,67.9,1.759,53.9,3.943
2022,Collin Morikawa,26,"$4,837,271",-8,19,60,14,8,0,69.6,301.8,65.3,68.6,1.746,47.2,4.033
2022,Andrew Landry,36,"$498,700",191,15,0,2,2,0,0,0,0,0,0,0,0
2023,Tom Hoge,34,"$4,723,610",1113,33,104,22,4,0,69.9,295.9,59.2,67.4,1.729,46,4.106
2022,Sepp Straka,30,"$4,722,434",-16,33,98,19,5,1,70.8,303,59.9,66.6,1.784,50,3.561
2023,Adam Hadwin,36,"$4,713,995",1156,28,88,19,6,0,69.8,295.7,63.4,67.6,1.739,52.1,3.886
2022,Bryson DeChambeau,30,"$519,928",134,8,0,4,1,0,0,0,0,0,0,0,0
2023,Justin Rose,43,"$4,635,120",1412,20,68,14,5,1,69.7,295.2,62.7,65.8,1.728,65.9,4.015
2023,Padraig Harrington,52,"$528,807",133,8,0,7,1,0,0,0,0,0,0,0,0
2023,Andrew Putnam,34,"$4,459,264",1309,33,111,25,6,0,69.6,284.7,64.4,69.7,1.765,59.3,3.73
2023,Mackenzie Hughes,32,"$4,318,591",911,30,89,17,4,1,70.2,299.5,55.3,65.6,1.738,45.3,3.775
2022,Tom Hoge,34,"$4,310,046",-14,32,96,19,6,1,69.9,298.1,61.6,66.3,1.757,52,3.917
2023,Chris Kirk,38,"$4,150,252",1476,29,92,19,4,1,69.9,296.4,61.4,66.7,1.743,59.8,3.739
2023,Brendon Todd,38,"$3,935,870",1075,31,104,22,7,0,69.6,282,67.9,66.2,1.718,60.4,4.048
2023,Francesco Molinari,41,"$566,848",121,18,0,6,0,0,0,0,0,0,0,0,0
2022,Scott Stallings,38,"$3,933,593",3,31,96,17,7,0,69.9,306,54.8,65.4,1.739,55.1,3.948
2022,Corey Conners,31,"$3,876,590",-3,25,87,20,4,0,69.7,302.7,66.8,71.9,1.782,45.6,3.862
2023,Dean Burmester,34,"$576,165",212,8,0,8,1,0,0,0,0,0,0,0,0
2023,Hideki Matsuyama,31,"$3,874,772",942,26,87,20,2,0,69.9,297.2,59.5,66.9,1.754,54.7,3.839
2023,Matt Kuchar,45,"$3,840,222",714,27,91,20,6,0,69.6,294.4,63.3,67.9,1.748,68,3.846
2023,Séamus Power,36,"$3,792,807",1185,26,82,18,3,1,70.3,300,58.7,65.4,1.729,45.9,3.854
2022,Kevin Kisner,39,"$3,757,424",1095,24,66,12,5,0,70.2,290.4,65.5,67.2,1.752,49.5,3.833
2023,Lee Hodges,28,"$3,749,468",1187,34,107,20,3,1,70.3,300.3,60.1,65.5,1.767,47.9,3.383
2022,Talor Gooch,32,"$3,718,990",1302,22,71,16,4,1,69.5,304.4,61.9,69.3,1.733,58.9,4.099
2022,Bubba Watson,45,"$610,649",199,9,0,5,1,0,0,0,0,0,0,0,0
2023,J.T. Poston,30,"$3,699,409",1193,31,100,21,8,0,69.6,297,60.5,68.8,1.735,55.5,3.97
2022,Keegan Bradley,37,"$3,623,137",946,25,80,18,6,0,70.2,307.5,59.8,66.2,1.754,47.7,3.788
2022,Shane Lowry,36,"$3,616,679",1222,18,58,14,4,0,69.7,306.9,61.4,67.9,1.767,67.1,3.69
2023,Beau Hossler,28,"$3,586,109",826,34,110,24,5,0,69.7,305.3,57.6,66.9,1.733,52.5,3.891
2023,Justin Thomas,30,"$3,566,403",608,21,72,15,4,0,70.4,308.5,55.2,65.7,1.768,50,4
